rank,school,year,champion
2,Arizona,1990,False
15,South Florida,1990,False
1,UNC,1991,False
16,Northeastern,1991,False
8,Princeton,1991,False
9,Villanova,1991,False
5,Mississippi State,1991,False
12,Eastern Michigan,1991,False
4,UCLA,1991,False
13,Penn State,1991,False
6,NC State,1991,False
11,Southern Miss,1991,False
3,Oklahoma State,1991,False
14,New Mexico,1991,False
7,Purdue,1991,False
10,Temple,1991,False
2,Syracuse,1991,False
15,Richmond,1991,False
1,Ohio State,1991,False
16,Towson,1991,False
8,Georgia Tech,1991,False
9,DePaul,1991,False
5,Texas,1991,False
12,St. Peter's,1991,False
4,St. John's (NY),1991,False
13,Northern Illinois,1991,False
6,LSU,1991,False
11,UConn,1991,False
3,Nebraska,1991,False
14,Xavier,1991,False
7,Iowa,1991,False
10,ETSU,1991,False
2,Duke,1991,True
15,Louisiana-Monroe,1991,False
1,Arkansas,1991,False
16,Georgia State,1991,False
8,Arizona State,1991,False
9,Rutgers,1991,False
5,Wake Forest,1991,False
12,Louisiana Tech,1991,False
4,Alabama,1991,False
13,Murray State,1991,False
6,Pitt,1991,False
11,Georgia,1991,False
3,Kansas,1991,False
14,New Orleans,1991,False
7,Florida State,1991,False
10,USC,1991,False
2,Indiana,1991,False
15,Coastal Carolina,1991,False
1,UNLV,1991,False
16,Montana,1991,False
8,Georgetown,1991,False
9,Vanderbilt,1991,False
5,Michigan State,1991,False
12,Green Bay,1991,False
4,Utah,1991,False
13,South Alabama,1991,False
6,New Mexico State,1991,False
11,Creighton,1991,False
3,Seton Hall,1991,False
14,Pepperdine,1991,False
7,Virginia,1991,False
10,BYU,1991,False
2,Arizona,1991,False
15,Saint Francis (PA),1991,False
1,Duke,1992,True
16,Campbell,1992,False
8,Texas,1992,False
9,Iowa,1992,False
5,Missouri,1992,False
12,West Virginia,1992,False
4,Seton Hall,1992,False
13,La Salle,1992,False
6,Syracuse,1992,False
11,Princeton,1992,False
3,UMass,1992,False
14,Fordham,1992,False
7,Charlotte,1992,False
10,Iowa State,1992,False
2,Kentucky,1992,False
15,Old Dominion,1992,False
1,Kansas,1992,False
16,Howard,1992,False
8,Evansville,1992,False
9,UTEP,1992,False
5,Michigan State,1992,False
12,Missouri State,1992,False
4,Cincinnati,1992,False
13,Delaware,1992,False
6,Memphis,1992,False
11,Pepperdine,1992,False
3,Arkansas,1992,False
14,Murray State,1992,False
7,Georgia Tech,1992,False
10,Houston,1992,False
2,USC,1992,False
15,Louisiana-Monroe,1992,False
1,Ohio State,1992,False
16,Mississippi Valley State,1992,False
8,Nebraska,1992,False
9,UConn,1992,False
5,Alabama,1992,False
12,Stanford,1992,False
4,UNC,1992,False
13,Miami (OH),1992,False
6,Michigan,1992,False
11,Temple,1992,False
3,Arizona,1992,False
14,ETSU,1992,False
7,St. John's (NY),1992,False
10,Tulane,1992,False
2,Oklahoma State,1992,False
15,Georgia Southern,1992,False
1,UCLA,1992,False
16,Robert Morris,1992,False
8,Louisville,1992,False
9,Wake Forest,1992,False
5,DePaul,1992,False
12,New Mexico State,1992,False
4,Oklahoma,1992,False
13,Louisiana,1992,False
6,Georgetown,1992,False
11,South Florida,1992,False
3,Florida State,1992,False
14,Montana,1992,False
7,LSU,1992,False
10,BYU,1992,False
2,Indiana,1992,False
15,Eastern Illinois,1992,False
1,UNC,1993,True
16,East Carolina,1993,False
8,Rhode Island,1993,False
9,Purdue,1993,False
5,St. John's (NY),1993,False
12,Texas Tech,1993,False
4,Arkansas,1993,False
13,Holy Cross,1993,False
6,Virginia,1993,False
11,Manhattan,1993,False
3,UMass,1993,False
14,Penn,1993,False
7,New Mexico State,1993,False
10,Nebraska,1993,False
2,Cincinnati,1993,False
15,Coppin State,1993,False
1,Indiana,1993,False
16,Wright State,1993,False
8,New Orleans,1993,False
9,Xavier,1993,False
5,Oklahoma State,1993,False
12,Marquette,1993,False
4,Louisville,1993,False
13,Delaware,1993,False
6,California,1993,False
11,LSU,1993,False
3,Duke,1993,False
14,Southern Illinois,1993,False
7,BYU,1993,False
10,SMU,1993,False
2,Kansas,1993,False
15,Ball State,1993,False
1,Kentucky,1993,False
16,Rider,1993,False
8,Utah,1993,False
9,Pitt,1993,False
5,Wake Forest,1993,False
12,Chattanooga,1993,False
4,Iowa,1993,False
13,Louisiana-Monroe,1993,False
6,Kansas State,1993,False
11,Tulane,1993,False
3,Florida State,1993,False
14,Evansville,1993,False
7,Western Kentucky,1993,False
10,Memphis,1993,False
2,Seton Hall,1993,False
15,Tennessee State,1993,False
1,Michigan,1993,False
16,Coastal Carolina,1993,False
8,Iowa State,1993,False
9,UCLA,1993,False
5,New Mexico,1993,False
12,George Washington,1993,False
4,Georgia Tech,1993,False
13,Southern,1993,False
6,Illinois,1993,False
11,Long Beach State,1993,False
3,Vanderbilt,1993,False
14,Boise State,1993,False
7,Temple,1993,False
10,Missouri,1993,False
2,Arizona,1993,False
15,Santa Clara,1993,False
1,UNC,1994,False
16,Liberty,1994,False
8,Washington State,1994,False
9,Boston College,1994,False
5,Indiana,1994,False
12,Ohio,1994,False
4,Temple,1994,False
13,Drexel,1994,False
6,Nebraska,1994,False
11,Penn,1994,False
3,Florida,1994,False
14,James Madison,1994,False
7,UAB,1994,False
10,George Washington,1994,False
2,UConn,1994,False
15,Rider,1994,False
1,Arkansas,1994,True
16,North Carolina A&T,1994,False
