year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1986,2,22,0.667,13,5,72.1,9.65,10,10,26,False,0,0,0,0,0,0,0,0,0
1986,1,23,0.719,14,4,67.8,4.16,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,6,19,0.576,6,8,69.5,11.04,19,17,26,False,0,0,0,0,0,0,0,0,0
1986,1,25,0.833,13,1,77.8,-0.79,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,1,33,0.868,16,2,78.6,4.34,18,6,11,True,0,0,0,0,1,0,0,0,0
1986,1,20,0.667,9,3,71.0,-0.67,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,3,25,0.694,9,5,67.6,6.46,16,12,26,False,0,0,0,0,0,0,0,0,0
1986,4,21,0.6,8,6,73.7,8.55,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,3,28,0.824,10,4,86.6,8.51,2,1,8,False,0,0,0,0,0,0,0,0,0
1986,3,20,0.667,12,4,72.0,1.99,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,1,32,0.914,16,0,71.5,2.58,26,9,14,False,0,0,0,0,1,0,0,0,0
1986,2,27,0.818,12,4,67.5,0.61,26,15,20,True,0,0,0,0,0,0,0,0,0
1986,1,32,0.821,10,2,79.3,10.42,9,7,7,True,0,0,0,0,0,0,0,0,1
1986,1,19,0.613,11,3,74.9,-8.67,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,32,0.889,14,0,90.5,8.71,1,1,2,False,0,0,0,0,0,0,0,0,0
1987,1,13,0.481,10,4,78.9,0.08,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,1,26,0.813,13,1,76.6,-1.43,9,9,26,True,1,1,0,0,0,0,1,1,0
1987,5,20,0.625,10,8,87.0,8.74,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,2,22,0.759,11,3,83.3,-2.45,26,26,26,False,0,0,0,0,0,1,0,0,0
1987,1,24,0.774,14,2,70.9,5.66,26,15,19,False,0,0,0,0,0,0,0,0,0
1987,1,25,0.806,15,1,80.8,-4.96,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,2,23,0.676,12,6,84.1,8.16,26,18,26,False,0,0,0,0,0,0,0,0,0
1987,6,20,0.571,6,8,78.0,8.08,17,11,26,True,0,0,0,0,0,0,0,0,0
1987,2,25,0.833,15,3,81.8,8.11,4,2,7,False,0,0,0,0,0,0,0,0,0
1987,1,27,0.794,17,1,82.5,-2.22,26,19,26,True,0,0,0,0,0,0,0,0,0
1987,2,23,0.742,15,3,68.7,2.22,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,1,29,0.763,12,2,78.5,2.45,26,8,26,False,0,0,0,0,0,0,0,0,0
1987,3,31,0.816,12,4,82.1,8.23,15,5,10,False,0,0,0,0,1,0,0,0,0
1987,4,20,0.645,12,6,69.7,-6.05,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,30,0.882,15,3,82.5,9.1,3,2,3,False,0,0,0,0,0,0,0,0,1
1987,7,15,0.484,5,9,65.9,-3.17,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,5,18,0.581,9,9,79.9,8.95,12,5,26,False,0,0,0,0,0,0,0,0,0
1987,1,24,0.8,13,1,70.0,-0.01,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,3,24,0.727,9,5,76.9,7.17,26,12,17,False,0,0,0,0,0,0,0,0,0
1987,8,17,0.548,6,10,67.0,3.35,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,24,0.706,11,3,74.1,6.37,26,14,14,True,0,0,0,0,0,0,0,0,0
1987,3,19,0.594,7,5,76.4,-0.17,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,5,21,0.7,10,6,69.8,7.26,26,10,26,False,0,0,0,0,0,0,0,0,0
1987,3,22,0.667,9,5,68.1,3.32,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,2,22,0.733,9,1,70.1,3.06,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,5,16,0.552,7,7,70.7,8.99,6,6,26,False,0,0,0,0,0,0,0,0,0
1987,7,24,0.615,8,10,69.7,10.58,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,1,32,0.889,17,1,75.0,2.9,26,5,8,True,0,0,0,0,0,0,0,0,0
1987,2,19,0.613,9,5,86.1,-8.79,26,26,26,True,0,0,0,0,1,1,0,0,0
1987,1,29,0.853,12,4,75.2,8.02,18,4,4,True,0,0,0,0,0,0,0,0,0
1987,1,22,0.71,11,3,77.3,-7.03,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,4,18,0.621,10,8,67.8,10.6,11,9,26,False,0,0,0,0,0,0,0,0,0
